inat_category_id,scientific_name,birdclef_primary_label,file_name,duration
154,Guyalna cuta,1161364,train/00154_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Guyalna_cuta/9ae805c6-d439-4a5f-98f1-f3579a6ed648.wav,15.783
1098,Leptodactylus luctator,1176823,train/01098_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_luctator/4671a856-96dc-46ee-8b6d-48cdc242f49a.wav,15.771
1098,Leptodactylus luctator,1176823,train/01098_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_luctator/607619c4-0fdd-48ea-9d75-ff02413696e7.wav,24.157
1098,Leptodactylus luctator,1176823,train/01098_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_luctator/be5e4c09-2589-4fc0-af7d-7886ebfe1932.wav,6.741
1098,Leptodactylus luctator,1176823,train/01098_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_luctator/ce48f064-9813-43e6-ac57-9244e8171674.wav,19.76
1108,Leptodactylus syphax,22930,train/01108_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_syphax/d08a58d4-c397-422f-afc4-a874b4daa71c.wav,11.471
1102,Leptodactylus mystacinus,22956,train/01102_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_mystacinus/2eec5779-6afb-4ee5-9b39-c574b2607f8d.wav,14.864
1102,Leptodactylus mystacinus,22956,train/01102_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_mystacinus/7152f1c0-c252-43ed-b3ef-f4e184db7fde.wav,15.637
1102,Leptodactylus mystacinus,22956,train/01102_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_mystacinus/fcd848c8-3f9a-4917-a046-083c32057462.wav,61.676
1106,Leptodactylus podicipinus,22961,train/01106_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_podicipinus/2fe719b4-ef2e-4ed4-aeed-11e34223f29c.wav,17.386
1089,Leptodactylus elenae,22967,train/01089_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_elenae/38db1d00-25f7-4da1-b923-8986122c0dd8.wav,12.19
1089,Leptodactylus elenae,22967,train/01089_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_elenae/c1659f48-5caa-454f-a396-518dfe53cbcf.wav,19.326
1091,Leptodactylus fuscus,22973,train/01091_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_fuscus/1eab90d7-c21c-4255-82e5-e5c1211c1801.wav,10.902
1091,Leptodactylus fuscus,22973,train/01091_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_fuscus/26d38c30-af1b-440f-83ac-2ee4b4ef4823.wav,40.807
1091,Leptodactylus fuscus,22973,train/01091_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_fuscus/297cdcb8-dad0-4b9f-a6e4-8ec9b18af3a1.wav,14.78
1091,Leptodactylus fuscus,22973,train/01091_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_fuscus/4d45f19e-ee75-488b-8c43-4a23cb0b709b.wav,19.9
1091,Leptodactylus fuscus,22973,train/01091_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_fuscus/67ed9cdc-08e5-4753-a3f8-5680d1460104.wav,27.106
1091,Leptodactylus fuscus,22973,train/01091_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_fuscus/dec32ce1-d3c9-465c-860e-7dac32edf471.wav,21.503
1091,Leptodactylus fuscus,22973,train/01091_Animalia_Chordata_Amphibia_Anura_Leptodactylidae_Leptodactylus_fuscus/fafe5f09-8140-4c69-94c0-3561fa45b941.wav,13.12
