species,pos,v1,v3,v5
65380,102,0.8796424452133795,0.6012687427912341,0.9916955017301039
555146,80,0.9529947916666667,0.6524739583333333,0.9635416666666667
24321,78,0.4489822891884747,0.4832143801215966,0.851440655564367
66971,76,0.08425080558539205,0.37077067669172936,0.9367615467239527
24279,72,0.9770833333333333,0.9947222222222222,0.8925
23158,72,0.7655555555555555,0.5876388888888889,0.9991666666666666
517063,58,0.7832742507251048,0.5236867547534644,0.8757653883338705
22973,48,0.9588913690476191,0.951264880952381,0.9730282738095238
25092,44,0.9072966507177034,0.6401515151515151,0.8993221690590112
22967,24,0.9616935483870968,0.8081317204301076,0.970766129032258
1491113,24,0.6891801075268817,0.6975806451612903,0.9593413978494624
25073,24,0.2752016129032258,0.20900537634408603,0.30073924731182794
326272,24,0.21236559139784944,0.09845430107526881,0.16498655913978494
67107,18,0.27515310586176733,0.19860017497812774,0.3884514435695538
